000001	日立
000002	
000003	
000004	
000005	シャープ
000006	三菱電機
000007	
000008	ダイキン
000009	日本電気
00000a	
00000b	パナソニック
00000c	
00000d	パナソニックシステムネット
00000e	
00000f	
000010	
000011	
000012	大井電気
000013	
000014	
000015	ダイキンシステムソリューションズ研究所
000016	東芝
000017	東芝キヤリア
000018	
000019	
00001a	
00001b	東芝ライテック
00001c	
00001d	
00001e	
00001f	
000020	
000021	
000022	日立アプライアンス
000023	エヌ・ティ・ティコムウェア
000024	
000025	LIXIL
000026	
000027	
000028	
000029	
00002a	
00002b	
00002c	AFT
00002d	
00002e	四国計測工業
00002f	アイホン
000030	
000031	IHIエスキューブ
000032	
000033	
000034	三菱電機エンジニアリング
000035	東光東芝メーターシステムズ
000036	日新システムズ
000037	サカ・テクノサイエンス
000038	アドソル日進
000039	サンデン
00003a	積水ハウス
00003b	京セラ
00003c	デンソー
00003d	住友電気工業
00003e	住友電工ネットワークス
00003f	シンセー電機
000040	日立ハイテクソリューションズ
000041	エネゲート
000042	サーコム・ジャパン
000043	東芝デジタルメディアエンジニアリング
000044	日立産機システム
000045	TIS
000046	ナビ・コミュニティ
000047	東日本電信電話
000048	沖電気工業
000049	OMソーラー
00004a	ユビテック
00004b	宮川製作所
00004c	トヨタメディアサービス
00004d	因幡電機産業
00004e	富士通
00004f	大和ハウス
000050	TOTO
000051	富士アイティ
000052	大崎電気工業
000053	ユビキタス
000054	ノーリツ
000055	ファミリーネット・ジャパン
000056	iND
000057	エリーパワー
000058	メディオテック
000059	リンナイ
00005a	アイティアクセス
00005b	日立コンシューマエレクトロニクス
00005c	トランスブート
00005d	ソーラーフロンティア
00005e	GWソーラー
00005f	日立ケーイーシステムズ
000060	ソニーコンピュータサイエンス研究所
000061	エヌ・ティ・ティ・データ先端技術
000062	富士通ビー・エス・シー
000063	河村電器産業
000064	オムロン
000065	エクスカル
000066	住友精密工業
000067	コロナ
000068	アイシン精機
000069	東芝ホームアプライアンス
00006a	岡谷鋼機
00006b	アイ・エス・ビー
00006c	ニチコン
00006d	SMART INT
00006e	サウンドビジョン
00006f	バッファロー
000070	シーイーシー
000071	日本産業
000072	エナリス
000073	NECアクセステクニカ
000074	JX日鉱日石エネルギー
000075	リコーITソリューションズ
000076	TSP
000077	神奈川工科大学
000078	日立マクセル
000079	アンリツエンジニアリング
00007a	図研エルミック
00007b	
00007c	日本システムウエア
00007d	POWERTECH INDUSTRIAL
00007e	SMK
00007f	アンリツカスタマーサポート
000080	田淵電機
000081	岩崎通信機
000082	パーパス
000083	メルコテクノ横浜
000084	
000085	東光電気
000086	西日本電信電話
000087	アイ・オー・データ
000088	長府製作所
000089	北海道電機
00008a	富士通ゼネラル
00008b	
00008c	九電テクノシステムズ
00008d	日本電信電話
00008e	ヤマハ
00008f	グラモ
000090	富士通コンポーネント
000091	NECエンジニアリング
000092	LSIS
000093	佐鳥電機
000094	アルファシステムズ
000095	大和電器
000096	
000097	
000098	
000099	
00009a	
00009b	
00009c	
00009d	
00009e	
00009f	
0000a0	
0000a1	
0000a2	
0000a3	
0000a4	
0000a5	
0000a6	
0000a7	
0000a8	
0000a9	
0000aa	
0000ab	
0000ac	
0000ad	
0000ae	
0000af	
0000b0	
0000b1	
0000b2	
0000b3	
0000b4	
0000b5	
0000b6	文化シヤッター
0000b7	
0000b8	
0000b9	
0000ba	
0000bb	
0000bc	
0000bd	
0000be	
0000bf	
0000c0	
0000c1	
0000c2	
0000c3	
0000c4	
0000c5	
0000c6	
0000c7	
0000c8	
0000c9	
0000ca	
0000cb	
0000cc	
0000cd	
0000ce	
0000cf	
0000d0	
0000d1	
0000d2	
0000d3	
0000d4	
0000d5	
0000d6	
0000d7	
0000d8	
0000d9	
0000da	
0000db	
0000dc	
0000dd	
0000de	
0000df	
0000e0	
0000e1	
0000e2	
0000e3	
0000e4	
0000e5	
0000e6	
0000e7	
0000e8	
0000e9	
0000ea	
0000eb	
0000ec	
0000ed	
0000ee	
0000ef	
0000f0	
0000f1	
0000f2	
0000f3	
0000f4	
0000f5	
0000f6	
0000f7	
0000f8	
0000f9	
0000fa	
0000fb	
0000fc	
0000fd	
0000fe	
0000ff	
